date_group,directory,task,our_result,surgclip_beta,surgclip_full,delta_vs_beta,delta_vs_full
3.31,eval_3.31_epoch_25,Cholec80 Phase,49.56 / 29.94,57.98 / 39.42,61.29 / 50.53,-8.42 Acc / -9.48 F1,-11.73 Acc / -20.59 F1
3.31,eval_3.31_epoch_25,AutoLaparo Phase,60.69 / 49.83,55.72 / 45.95,69.14 / 56.37,+4.97 Acc / +3.88 F1,-8.45 Acc / -6.54 F1
3.31,eval_3.31_epoch_25,StrasBypass70 Phase,28.05 / 24.67,31.24 / 26.05,32.37 / 30.78,-3.19 Acc / -1.38 F1,-4.32 Acc / -6.11 F1
3.31,eval_3.31_epoch_25,HeiChole Phase,50.68 / 35.12,56.95 / 44.00,63.84 / 55.15,-6.27 Acc / -8.88 F1,-13.16 Acc / -20.03 F1
3.31,eval_3.31_epoch_25,BernBypass70 Phase,15.5 / 13.64,18.30 / 15.06,23.90 / 19.68,-2.80 Acc / -1.42 F1,-8.40 Acc / -6.04 F1
3.31,eval_3.31_epoch_25,GraSP Phase,45.21 / 41.93,34.77 / 27.98,41.49 / 34.94,+10.44 Acc / +13.95 F1,+3.72 Acc / +6.99 F1
3.31,eval_3.31_epoch_25,GraSP Step,25.75 / 20.12,14.15 / 11.14,26.28 / 16.53,+11.60 Acc / +8.98 F1,-0.53 Acc / +3.59 F1
3.31,eval_3.31_epoch_25,SARRARP50 Action,10.02 / 3.08,13.94 / 7.62,17.42 / 7.76,-3.92 Acc / -4.54 F1,-7.40 Acc / -4.68 F1
3.31,eval_3.31_epoch_25,CholeT50 Triplet mAP,4.28,4.17,5.28,+0.11,-1.00
3.31,eval_3.31_epoch_25,Cholec80 Tool mAP,36.73,36.77,40.80,-0.04,-4.07
3.31,eval_3.31_epoch_25,HeiChole Tool mAP,31.34,31.47,36.79,-0.13,-5.45
3.31,eval_3.31_epoch_25,GraSP Tool mAP,46.21,43.06,45.97,+3.15,+0.24
3.31,eval_3.31_epoch_30,Cholec80 Phase,42.99 / 25.59,57.98 / 39.42,61.29 / 50.53,-14.99 Acc / -13.83 F1,-18.30 Acc / -24.94 F1
3.31,eval_3.31_epoch_30,AutoLaparo Phase,54.99 / 46.44,55.72 / 45.95,69.14 / 56.37,-0.73 Acc / +0.49 F1,-14.15 Acc / -9.93 F1
3.31,eval_3.31_epoch_30,StrasBypass70 Phase,27.94 / 24.3,31.24 / 26.05,32.37 / 30.78,-3.30 Acc / -1.75 F1,-4.43 Acc / -6.48 F1
3.31,eval_3.31_epoch_30,HeiChole Phase,45.65 / 33.88,56.95 / 44.00,63.84 / 55.15,-11.30 Acc / -10.12 F1,-18.19 Acc / -21.27 F1
3.31,eval_3.31_epoch_30,BernBypass70 Phase,15.21 / 13.26,18.30 / 15.06,23.90 / 19.68,-3.09 Acc / -1.80 F1,-8.69 Acc / -6.42 F1
3.31,eval_3.31_epoch_30,GraSP Phase,41.29 / 37.45,34.77 / 27.98,41.49 / 34.94,+6.52 Acc / +9.47 F1,-0.20 Acc / +2.51 F1
3.31,eval_3.31_epoch_30,GraSP Step,18.41 / 14.52,14.15 / 11.14,26.28 / 16.53,+4.26 Acc / +3.38 F1,-7.87 Acc / -2.01 F1
3.31,eval_3.31_epoch_30,SARRARP50 Action,11.22 / 2.76,13.94 / 7.62,17.42 / 7.76,-2.72 Acc / -4.86 F1,-6.20 Acc / -5.00 F1
3.31,eval_3.31_epoch_30,CholeT50 Triplet mAP,4.14,4.17,5.28,-0.03,-1.14
3.31,eval_3.31_epoch_30,Cholec80 Tool mAP,35.92,36.77,40.80,-0.85,-4.88
3.31,eval_3.31_epoch_30,HeiChole Tool mAP,29.13,31.47,36.79,-2.34,-7.66
3.31,eval_3.31_epoch_30,GraSP Tool mAP,45.38,43.06,45.97,+2.32,-0.59
3.31,eval_3.31_epoch_40,Cholec80 Phase,46.79 / 30.18,57.98 / 39.42,61.29 / 50.53,-11.19 Acc / -9.24 F1,-14.50 Acc / -20.35 F1
3.31,eval_3.31_epoch_40,AutoLaparo Phase,56.88 / 49.49,55.72 / 45.95,69.14 / 56.37,+1.16 Acc / +3.54 F1,-12.26 Acc / -6.88 F1
3.31,eval_3.31_epoch_40,StrasBypass70 Phase,30.15 / 26.29,31.24 / 26.05,32.37 / 30.78,-1.09 Acc / +0.24 F1,-2.22 Acc / -4.49 F1
3.31,eval_3.31_epoch_40,HeiChole Phase,48.12 / 32.73,56.95 / 44.00,63.84 / 55.15,-8.83 Acc / -11.27 F1,-15.72 Acc / -22.42 F1
3.31,eval_3.31_epoch_40,BernBypass70 Phase,17.93 / 15.48,18.30 / 15.06,23.90 / 19.68,-0.37 Acc / +0.42 F1,-5.97 Acc / -4.20 F1
3.31,eval_3.31_epoch_40,GraSP Phase,42.21 / 37.54,34.77 / 27.98,41.49 / 34.94,+7.44 Acc / +9.56 F1,+0.72 Acc / +2.60 F1
3.31,eval_3.31_epoch_40,GraSP Step,21.16 / 15.26,14.15 / 11.14,26.28 / 16.53,+7.01 Acc / +4.12 F1,-5.12 Acc / -1.27 F1
3.31,eval_3.31_epoch_40,SARRARP50 Action,10.85 / 4.51,13.94 / 7.62,17.42 / 7.76,-3.09 Acc / -3.11 F1,-6.57 Acc / -3.25 F1
3.31,eval_3.31_epoch_40,CholeT50 Triplet mAP,3.99,4.17,5.28,-0.18,-1.29
3.31,eval_3.31_epoch_40,Cholec80 Tool mAP,36.58,36.77,40.80,-0.19,-4.22
3.31,eval_3.31_epoch_40,HeiChole Tool mAP,30.95,31.47,36.79,-0.52,-5.84
3.31,eval_3.31_epoch_40,GraSP Tool mAP,46.75,43.06,45.97,+3.69,+0.78
3.31,eval_3.31_epoch_5,Cholec80 Phase,39.98 / 24.35,57.98 / 39.42,61.29 / 50.53,-18.00 Acc / -15.07 F1,-21.31 Acc / -26.18 F1
3.31,eval_3.31_epoch_5,AutoLaparo Phase,56.94 / 46.48,55.72 / 45.95,69.14 / 56.37,+1.22 Acc / +0.53 F1,-12.20 Acc / -9.89 F1
3.31,eval_3.31_epoch_5,StrasBypass70 Phase,33.31 / 25.43,31.24 / 26.05,32.37 / 30.78,+2.07 Acc / -0.62 F1,+0.94 Acc / -5.35 F1
3.31,eval_3.31_epoch_5,HeiChole Phase,36.7 / 30.94,56.95 / 44.00,63.84 / 55.15,-20.25 Acc / -13.06 F1,-27.14 Acc / -24.21 F1
3.31,eval_3.31_epoch_5,BernBypass70 Phase,23.73 / 17.54,18.30 / 15.06,23.90 / 19.68,+5.43 Acc / +2.48 F1,-0.17 Acc / -2.14 F1
3.31,eval_3.31_epoch_5,GraSP Phase,37.63 / 33.74,34.77 / 27.98,41.49 / 34.94,+2.86 Acc / +5.76 F1,-3.86 Acc / -1.20 F1
3.31,eval_3.31_epoch_5,GraSP Step,23.22 / 14.86,14.15 / 11.14,26.28 / 16.53,+9.07 Acc / +3.72 F1,-3.06 Acc / -1.67 F1
3.31,eval_3.31_epoch_5,SARRARP50 Action,3.83 / 2.54,13.94 / 7.62,17.42 / 7.76,-10.11 Acc / -5.08 F1,-13.59 Acc / -5.22 F1
3.31,eval_3.31_epoch_5,CholeT50 Triplet mAP,4.27,4.17,5.28,+0.10,-1.01
3.31,eval_3.31_epoch_5,Cholec80 Tool mAP,38.45,36.77,40.80,+1.68,-2.35
3.31,eval_3.31_epoch_5,HeiChole Tool mAP,34.19,31.47,36.79,+2.72,-2.60
3.31,eval_3.31_epoch_5,GraSP Tool mAP,50.87,43.06,45.97,+7.81,+4.90
3.31,eval_3.31_epoch_50,Cholec80 Phase,47.35 / 28.58,57.98 / 39.42,61.29 / 50.53,-10.63 Acc / -10.84 F1,-13.94 Acc / -21.95 F1
3.31,eval_3.31_epoch_50,AutoLaparo Phase,54.35 / 46.56,55.72 / 45.95,69.14 / 56.37,-1.37 Acc / +0.61 F1,-14.79 Acc / -9.81 F1
3.31,eval_3.31_epoch_50,StrasBypass70 Phase,31.06 / 26.82,31.24 / 26.05,32.37 / 30.78,-0.18 Acc / +0.77 F1,-1.31 Acc / -3.96 F1
3.31,eval_3.31_epoch_50,HeiChole Phase,53.23 / 33.54,56.95 / 44.00,63.84 / 55.15,-3.72 Acc / -10.46 F1,-10.61 Acc / -21.61 F1
3.31,eval_3.31_epoch_50,BernBypass70 Phase,18.94 / 15.63,18.30 / 15.06,23.90 / 19.68,+0.64 Acc / +0.57 F1,-4.96 Acc / -4.05 F1
3.31,eval_3.31_epoch_50,GraSP Phase,41.99 / 37.91,34.77 / 27.98,41.49 / 34.94,+7.22 Acc / +9.93 F1,+0.50 Acc / +2.97 F1
3.31,eval_3.31_epoch_50,GraSP Step,22.12 / 15.51,14.15 / 11.14,26.28 / 16.53,+7.97 Acc / +4.37 F1,-4.16 Acc / -1.02 F1
3.31,eval_3.31_epoch_50,SARRARP50 Action,11.0 / 3.33,13.94 / 7.62,17.42 / 7.76,-2.94 Acc / -4.29 F1,-6.42 Acc / -4.43 F1
3.31,eval_3.31_epoch_50,CholeT50 Triplet mAP,4.11,4.17,5.28,-0.06,-1.17
3.31,eval_3.31_epoch_50,Cholec80 Tool mAP,35.14,36.77,40.80,-1.63,-5.66
3.31,eval_3.31_epoch_50,HeiChole Tool mAP,29.84,31.47,36.79,-1.63,-6.95
3.31,eval_3.31_epoch_50,GraSP Tool mAP,45.63,43.06,45.97,+2.57,-0.34
4.2,eval_4.2_epoch_10,Cholec80 Phase,44.99 / 29.59,57.98 / 39.42,61.29 / 50.53,-12.99 Acc / -9.83 F1,-16.30 Acc / -20.94 F1
4.2,eval_4.2_epoch_10,AutoLaparo Phase,50.27 / 42.26,55.72 / 45.95,69.14 / 56.37,-5.45 Acc / -3.69 F1,-18.87 Acc / -14.11 F1
4.2,eval_4.2_epoch_10,StrasBypass70 Phase,24.85 / 22.4,31.24 / 26.05,32.37 / 30.78,-6.39 Acc / -3.65 F1,-7.52 Acc / -8.38 F1
4.2,eval_4.2_epoch_10,HeiChole Phase,42.35 / 36.35,56.95 / 44.00,63.84 / 55.15,-14.60 Acc / -7.65 F1,-21.49 Acc / -18.80 F1
4.2,eval_4.2_epoch_10,BernBypass70 Phase,15.88 / 14.07,18.30 / 15.06,23.90 / 19.68,-2.42 Acc / -0.99 F1,-8.02 Acc / -5.61 F1
4.2,eval_4.2_epoch_10,GraSP Phase,34.93 / 28.71,34.77 / 27.98,41.49 / 34.94,+0.16 Acc / +0.73 F1,-6.56 Acc / -6.23 F1
4.2,eval_4.2_epoch_10,GraSP Step,22.5 / 14.15,14.15 / 11.14,26.28 / 16.53,+8.35 Acc / +3.01 F1,-3.78 Acc / -2.38 F1
4.2,eval_4.2_epoch_10,SARRARP50 Action,12.1 / 6.46,13.94 / 7.62,17.42 / 7.76,-1.84 Acc / -1.16 F1,-5.32 Acc / -1.30 F1
4.2,eval_4.2_epoch_10,CholeT50 Triplet mAP,4.55,4.17,5.28,+0.38,-0.73
4.2,eval_4.2_epoch_10,Cholec80 Tool mAP,35.88,36.77,40.80,-0.89,-4.92
4.2,eval_4.2_epoch_10,HeiChole Tool mAP,45.0,31.47,36.79,+13.53,+8.21
4.2,eval_4.2_epoch_10,GraSP Tool mAP,56.89,43.06,45.97,+13.83,+10.92
4.2,eval_4.2_epoch_15,Cholec80 Phase,43.18 / 28.15,57.98 / 39.42,61.29 / 50.53,-14.80 Acc / -11.27 F1,-18.11 Acc / -22.38 F1
4.2,eval_4.2_epoch_15,AutoLaparo Phase,43.25 / 31.15,55.72 / 45.95,69.14 / 56.37,-12.47 Acc / -14.80 F1,-25.89 Acc / -25.22 F1
4.2,eval_4.2_epoch_15,StrasBypass70 Phase,32.36 / 27.86,31.24 / 26.05,32.37 / 30.78,+1.12 Acc / +1.81 F1,-0.01 Acc / -2.92 F1
4.2,eval_4.2_epoch_15,HeiChole Phase,30.14 / 28.33,56.95 / 44.00,63.84 / 55.15,-26.81 Acc / -15.67 F1,-33.70 Acc / -26.82 F1
4.2,eval_4.2_epoch_15,BernBypass70 Phase,21.92 / 17.53,18.30 / 15.06,23.90 / 19.68,+3.62 Acc / +2.47 F1,-1.98 Acc / -2.15 F1
4.2,eval_4.2_epoch_15,GraSP Phase,36.11 / 31.9,34.77 / 27.98,41.49 / 34.94,+1.34 Acc / +3.92 F1,-5.38 Acc / -3.04 F1
4.2,eval_4.2_epoch_15,GraSP Step,22.92 / 14.61,14.15 / 11.14,26.28 / 16.53,+8.77 Acc / +3.47 F1,-3.36 Acc / -1.92 F1
4.2,eval_4.2_epoch_15,SARRARP50 Action,11.57 / 3.75,13.94 / 7.62,17.42 / 7.76,-2.37 Acc / -3.87 F1,-5.85 Acc / -4.01 F1
4.2,eval_4.2_epoch_15,CholeT50 Triplet mAP,4.45,4.17,5.28,+0.28,-0.83
4.2,eval_4.2_epoch_15,Cholec80 Tool mAP,34.89,36.77,40.80,-1.88,-5.91
4.2,eval_4.2_epoch_15,HeiChole Tool mAP,36.2,31.47,36.79,+4.73,-0.59
4.2,eval_4.2_epoch_15,GraSP Tool mAP,51.16,43.06,45.97,+8.10,+5.19
4.2,eval_4.2_epoch_30,Cholec80 Phase,44.83 / 30.56,57.98 / 39.42,61.29 / 50.53,-13.15 Acc / -8.86 F1,-16.46 Acc / -19.97 F1
4.2,eval_4.2_epoch_30,AutoLaparo Phase,43.62 / 33.01,55.72 / 45.95,69.14 / 56.37,-12.10 Acc / -12.94 F1,-25.52 Acc / -23.36 F1
4.2,eval_4.2_epoch_30,StrasBypass70 Phase,33.78 / 27.84,31.24 / 26.05,32.37 / 30.78,+2.54 Acc / +1.79 F1,+1.41 Acc / -2.94 F1
4.2,eval_4.2_epoch_30,HeiChole Phase,42.04 / 35.08,56.95 / 44.00,63.84 / 55.15,-14.91 Acc / -8.92 F1,-21.80 Acc / -20.07 F1
4.2,eval_4.2_epoch_30,BernBypass70 Phase,26.62 / 19.21,18.30 / 15.06,23.90 / 19.68,+8.32 Acc / +4.15 F1,+2.72 Acc / -0.47 F1
4.2,eval_4.2_epoch_30,GraSP Phase,32.71 / 30.09,34.77 / 27.98,41.49 / 34.94,-2.06 Acc / +2.11 F1,-8.78 Acc / -4.85 F1
4.2,eval_4.2_epoch_30,GraSP Step,19.84 / 12.26,14.15 / 11.14,26.28 / 16.53,+5.69 Acc / +1.12 F1,-6.44 Acc / -4.27 F1
4.2,eval_4.2_epoch_30,SARRARP50 Action,12.25 / 6.32,13.94 / 7.62,17.42 / 7.76,-1.69 Acc / -1.30 F1,-5.17 Acc / -1.44 F1
4.2,eval_4.2_epoch_30,CholeT50 Triplet mAP,4.31,4.17,5.28,+0.14,-0.97
4.2,eval_4.2_epoch_30,Cholec80 Tool mAP,33.67,36.77,40.80,-3.10,-7.13
4.2,eval_4.2_epoch_30,HeiChole Tool mAP,31.5,31.47,36.79,+0.03,-5.29
4.2,eval_4.2_epoch_30,GraSP Tool mAP,45.52,43.06,45.97,+2.46,-0.45
4.2,eval_4.2_epoch_40,Cholec80 Phase,47.56 / 32.52,57.98 / 39.42,61.29 / 50.53,-10.42 Acc / -6.90 F1,-13.73 Acc / -18.01 F1
4.2,eval_4.2_epoch_40,AutoLaparo Phase,48.28 / 36.49,55.72 / 45.95,69.14 / 56.37,-7.44 Acc / -9.46 F1,-20.86 Acc / -19.88 F1
4.2,eval_4.2_epoch_40,StrasBypass70 Phase,33.52 / 28.64,31.24 / 26.05,32.37 / 30.78,+2.28 Acc / +2.59 F1,+1.15 Acc / -2.14 F1
4.2,eval_4.2_epoch_40,HeiChole Phase,43.82 / 34.66,56.95 / 44.00,63.84 / 55.15,-13.13 Acc / -9.34 F1,-20.02 Acc / -20.49 F1
