date_group,directory,task,our_result,surgclip_beta,surgclip_full,delta_vs_beta,delta_vs_full
4.2,eval_4.2_epoch_40,BernBypass70 Phase,24.55 / 18.23,18.30 / 15.06,23.90 / 19.68,+6.25 Acc / +3.17 F1,+0.65 Acc / -1.45 F1
4.2,eval_4.2_epoch_40,GraSP Phase,33.02 / 30.99,34.77 / 27.98,41.49 / 34.94,-1.75 Acc / +3.01 F1,-8.47 Acc / -3.95 F1
4.2,eval_4.2_epoch_40,GraSP Step,19.26 / 11.28,14.15 / 11.14,26.28 / 16.53,+5.11 Acc / +0.14 F1,-7.02 Acc / -5.25 F1
4.2,eval_4.2_epoch_40,SARRARP50 Action,11.59 / 6.03,13.94 / 7.62,17.42 / 7.76,-2.35 Acc / -1.59 F1,-5.83 Acc / -1.73 F1
4.2,eval_4.2_epoch_40,CholeT50 Triplet mAP,4.45,4.17,5.28,+0.28,-0.83
4.2,eval_4.2_epoch_40,Cholec80 Tool mAP,34.08,36.77,40.80,-2.69,-6.72
4.2,eval_4.2_epoch_40,HeiChole Tool mAP,32.61,31.47,36.79,+1.14,-4.18
4.2,eval_4.2_epoch_40,GraSP Tool mAP,49.2,43.06,45.97,+6.14,+3.23
4.2,eval_4.2_epoch_5,Cholec80 Phase,47.69 / 32.99,57.98 / 39.42,61.29 / 50.53,-10.29 Acc / -6.43 F1,-13.60 Acc / -17.54 F1
4.2,eval_4.2_epoch_5,AutoLaparo Phase,53.2 / 40.47,55.72 / 45.95,69.14 / 56.37,-2.52 Acc / -5.48 F1,-15.94 Acc / -15.90 F1
4.2,eval_4.2_epoch_5,StrasBypass70 Phase,29.58 / 26.26,31.24 / 26.05,32.37 / 30.78,-1.66 Acc / +0.21 F1,-2.79 Acc / -4.52 F1
4.2,eval_4.2_epoch_5,HeiChole Phase,38.25 / 35.37,56.95 / 44.00,63.84 / 55.15,-18.70 Acc / -8.63 F1,-25.59 Acc / -19.78 F1
4.2,eval_4.2_epoch_5,BernBypass70 Phase,18.31 / 17.62,18.30 / 15.06,23.90 / 19.68,+0.01 Acc / +2.56 F1,-5.59 Acc / -2.06 F1
4.2,eval_4.2_epoch_5,GraSP Phase,35.48 / 29.5,34.77 / 27.98,41.49 / 34.94,+0.71 Acc / +1.52 F1,-6.01 Acc / -5.44 F1
4.2,eval_4.2_epoch_5,GraSP Step,21.57 / 12.01,14.15 / 11.14,26.28 / 16.53,+7.42 Acc / +0.87 F1,-4.71 Acc / -4.52 F1
4.2,eval_4.2_epoch_5,SARRARP50 Action,11.96 / 5.82,13.94 / 7.62,17.42 / 7.76,-1.98 Acc / -1.80 F1,-5.46 Acc / -1.94 F1
4.2,eval_4.2_epoch_5,CholeT50 Triplet mAP,4.63,4.17,5.28,+0.46,-0.{truncated}
4.2,eval_4.2_epoch_5,Cholec80 Tool mAP,38.94,36.77,40.80,+2.17,-1.86
4.2,eval_4.2_epoch_5,HeiChole Tool mAP,45.99,31.47,36.79,+14.52,+9.20
4.2,eval_4.2_epoch_5,GraSP Tool mAP,52.7,43.06,45.97,+9.64,+6.73
4.2,eval_4.2_epoch_50,Cholec80 Phase,46.74 / 32.06,57.98 / 39.42,61.29 / 50.53,-11.24 Acc / -7.36 F1,-14.55 Acc / -18.47 F1
4.2,eval_4.2_epoch_50,AutoLaparo Phase,50.43 / 38.61,55.72 / 45.95,69.14 / 56.37,-5.29 Acc / -7.34 F1,-18.71 Acc / -17.76 F1
4.2,eval_4.2_epoch_50,StrasBypass70 Phase,34.76 / 29.77,31.24 / 26.05,32.37 / 30.78,+3.52 Acc / +3.72 F1,+2.39 Acc / -1.01 F1
4.2,eval_4.2_epoch_50,HeiChole Phase,39.71 / 31.77,56.95 / 44.00,63.84 / 55.15,-17.24 Acc / -12.23 F1,-24.13 Acc / -23.38 F1
4.2,eval_4.2_epoch_50,BernBypass70 Phase,24.51 / 17.95,18.30 / 15.06,23.90 / 19.68,+6.21 Acc / +2.89 F1,+0.61 Acc / -1.73 F1
4.2,eval_4.2_epoch_50,GraSP Phase,32.29 / 30.46,34.77 / 27.98,41.49 / 34.94,-2.48 Acc / +2.48 F1,-9.20 Acc / -4.48 F1
4.2,eval_4.2_epoch_50,GraSP Step,20.92 / 12.32,14.15 / 11.14,26.28 / 16.53,+6.77 Acc / +1.18 F1,-5.36 Acc / -4.21 F1
4.2,eval_4.2_epoch_50,SARRARP50 Action,12.56 / 6.56,13.94 / 7.62,17.42 / 7.76,-1.38 Acc / -1.06 F1,-4.86 Acc / -1.20 F1
4.2,eval_4.2_epoch_50,CholeT50 Triplet mAP,4.43,4.17,5.28,+0.26,-0.85
4.2,eval_4.2_epoch_50,Cholec80 Tool mAP,34.27,36.77,40.80,-2.50,-6.53
4.2,eval_4.2_epoch_50,HeiChole Tool mAP,32.99,31.47,36.79,+1.52,-3.80
4.2,eval_4.2_epoch_50,GraSP Tool mAP,49.56,43.06,45.97,+6.50,+3.59
4.3,eval_4.3_epoch_10,Cholec80 Phase,50.04 / 37.33,57.98 / 39.42,61.29 / 50.53,-7.94 Acc / -2.09 F1,-11.25 Acc / -13.20 F1
4.3,eval_4.3_epoch_10,AutoLaparo Phase,47.92 / 41.03,55.72 / 45.95,69.14 / 56.37,-7.80 Acc / -4.92 F1,-21.22 Acc / -15.34 F1
4.3,eval_4.3_epoch_10,StrasBypass70 Phase,32.04 / 29.89,31.24 / 26.05,32.37 / 30.78,+0.80 Acc / +3.84 F1,-0.33 Acc / -0.89 F1
4.3,eval_4.3_epoch_10,HeiChole Phase,51.1 / 40.35,56.95 / 44.00,63.84 / 55.15,-5.85 Acc / -3.65 F1,-12.74 Acc / -14.80 F1
4.3,eval_4.3_epoch_10,BernBypass70 Phase,23.94 / 21.45,18.30 / 15.06,23.90 / 19.68,+5.64 Acc / +6.39 F1,+0.04 Acc / +1.77 F1
4.3,eval_4.3_epoch_10,GraSP Phase,35.04 / 27.26,34.77 / 27.98,41.49 / 34.94,+0.27 Acc / -0.72 F1,-6.45 Acc / -7.68 F1
4.3,eval_4.3_epoch_10,GraSP Step,26.03 / 16.57,14.15 / 11.14,26.28 / 16.53,+11.88 Acc / +5.43 F1,-0.25 Acc / +0.04 F1
4.3,eval_4.3_epoch_10,SARRARP50 Action,27.05 / 13.11,13.94 / 7.62,17.42 / 7.76,+13.11 Acc / +5.49 F1,+9.63 Acc / +5.35 F1
4.3,eval_4.3_epoch_10,CholeT50 Triplet mAP,3.84,4.17,5.28,-0.33,-1.44
4.3,eval_4.3_epoch_10,Cholec80 Tool mAP,36.53,36.77,40.80,-0.24,-4.27
4.3,eval_4.3_epoch_10,HeiChole Tool mAP,32.5,31.47,36.79,+1.03,-4.29
4.3,eval_4.3_epoch_10,GraSP Tool mAP,52.9,43.06,45.97,+9.84,+6.93
4.3,eval_4.3_epoch_20,Cholec80 Phase,44.49 / 32.48,57.98 / 39.42,61.29 / 50.53,-13.49 Acc / -6.94 F1,-16.80 Acc / -18.05 F1
4.3,eval_4.3_epoch_20,AutoLaparo Phase,47.53 / 40.37,55.72 / 45.95,69.14 / 56.37,-8.19 Acc / -5.58 F1,-21.61 Acc / -16.00 F1
4.3,eval_4.3_epoch_20,StrasBypass70 Phase,34.13 / 28.06,31.24 / 26.05,32.37 / 30.78,+2.89 Acc / +2.01 F1,+1.76 Acc / -2.72 F1
4.3,eval_4.3_epoch_20,HeiChole Phase,31.8 / 35.14,56.95 / 44.00,63.84 / 55.15,-25.15 Acc / -8.86 F1,-32.04 Acc / -20.01 F1
4.3,eval_4.3_epoch_20,BernBypass70 Phase,23.07 / 17.8,18.30 / 15.06,23.90 / 19.68,+4.77 Acc / +2.74 F1,-0.83 Acc / -1.88 F1
4.3,eval_4.3_epoch_20,GraSP Phase,36.75 / 31.35,34.77 / 27.98,41.49 / 34.94,+1.98 Acc / +3.37 F1,-4.74 Acc / -3.59 F1
4.3,eval_4.3_epoch_20,GraSP Step,16.95 / 13.1,14.15 / 11.14,26.28 / 16.53,+2.80 Acc / +1.96 F1,-9.33 Acc / -3.43 F1
4.3,eval_4.3_epoch_20,SARRARP50 Action,25.67 / 9.06,13.94 / 7.62,17.42 / 7.76,+11.73 Acc / +1.44 F1,+8.25 Acc / +1.30 F1
4.3,eval_4.3_epoch_20,CholeT50 Triplet mAP,3.75,4.17,5.28,-0.42,-1.53
4.3,eval_4.3_epoch_20,Cholec80 Tool mAP,33.39,36.77,40.80,-3.38,-7.41
4.3,eval_4.3_epoch_20,HeiChole Tool mAP,31.98,31.47,36.79,+0.51,-4.81
4.3,eval_4.3_epoch_20,GraSP Tool mAP,47.07,43.06,45.97,+4.01,+1.10
4.3,eval_4.3_epoch_30,Cholec80 Phase,37.77 / 24.85,57.98 / 39.42,61.29 / 50.53,-20.21 Acc / -14.57 F1,-23.52 Acc / -25.68 F1
4.3,eval_4.3_epoch_30,AutoLaparo Phase,54.13 / 44.26,55.72 / 45.95,69.14 / 56.37,-1.59 Acc / -1.69 F1,-15.01 Acc / -12.11 F1
4.3,eval_4.3_epoch_30,StrasBypass70 Phase,30.69 / 26.26,31.24 / 26.05,32.37 / 30.78,-0.55 Acc / +0.21 F1,-1.68 Acc / -4.52 F1
4.3,eval_4.3_epoch_30,HeiChole Phase,29.51 / 26.67,56.95 / 44.00,63.84 / 55.15,-27.44 Acc / -17.33 F1,-34.33 Acc / -28.48 F1
4.3,eval_4.3_epoch_30,BernBypass70 Phase,20.55 / 15.18,18.30 / 15.06,23.90 / 19.68,+2.25 Acc / +0.12 F1,-3.35 Acc / -4.50 F1
4.3,eval_4.3_epoch_30,GraSP Phase,34.59 / 28.38,34.77 / 27.98,41.49 / 34.94,-0.18 Acc / +0.40 F1,-6.90 Acc / -6.56 F1
4.3,eval_4.3_epoch_30,GraSP Step,21.15 / 12.76,14.15 / 11.14,26.28 / 16.53,+7.00 Acc / +1.62 F1,-5.13 Acc / -3.77 F1
4.3,eval_4.3_epoch_30,SARRARP50 Action,22.05 / 8.11,13.94 / 7.62,17.42 / 7.76,+8.11 Acc / +0.49 F1,+4.63 Acc / +0.35 F1
4.3,eval_4.3_epoch_30,CholeT50 Triplet mAP,3.92,4.17,5.28,-0.25,-1.36
4.3,eval_4.3_epoch_30,Cholec80 Tool mAP,33.67,36.77,40.80,-3.10,-7.13
4.3,eval_4.3_epoch_30,HeiChole Tool mAP,31.11,31.47,36.79,-0.36,-5.68
4.3,eval_4.3_epoch_30,GraSP Tool mAP,43.66,43.06,45.97,+0.60,-2.31
4.3,eval_4.3_epoch_40,Cholec80 Phase,41.72 / 29.44,57.98 / 39.42,61.29 / 50.53,-16.26 Acc / -9.98 F1,-19.57 Acc / -21.09 F1
4.3,eval_4.3_epoch_40,AutoLaparo Phase,55.91 / 49.47,55.72 / 45.95,69.14 / 56.37,+0.19 Acc / +3.52 F1,-13.23 Acc / -6.90 F1
4.3,eval_4.3_epoch_40,StrasBypass70 Phase,31.94 / 25.84,31.24 / 26.05,32.37 / 30.78,+0.70 Acc / -0.21 F1,-0.43 Acc / -4.94 F1
4.3,eval_4.3_epoch_40,HeiChole Phase,31.8 / 23.84,56.95 / 44.00,63.84 / 55.15,-25.15 Acc / -20.16 F1,-32.04 Acc / -31.31 F1
4.3,eval_4.3_epoch_40,BernBypass70 Phase,15.75 / 15.77,18.30 / 15.06,23.90 / 19.68,-2.55 Acc / +0.71 F1,-8.15 Acc / -3.91 F1
4.3,eval_4.3_epoch_40,GraSP Phase,35.43 / 31.85,34.77 / 27.98,41.49 / 34.94,+0.66 Acc / +3.87 F1,-6.06 Acc / -3.09 F1
4.3,eval_4.3_epoch_40,GraSP Step,24.41 / 15.61,14.15 / 11.14,26.28 / 16.53,+10.26 Acc / +4.47 F1,-1.87 Acc / -0.92 F1
4.3,eval_4.3_epoch_40,SARRARP50 Action,29.46 / 11.32,13.94 / 7.62,17.42 / 7.76,+15.52 Acc / +3.70 F1,+12.04 Acc / +3.56 F1
4.3,eval_4.3_epoch_40,CholeT50 Triplet mAP,3.97,4.17,5.28,-0.20,-1.31
4.3,eval_4.3_epoch_40,Cholec80 Tool mAP,33.05,36.77,40.80,-3.72,-7.75
