Task,baseline_eval_4.29_epoch_50,expand_only_eval_5.11_epoch_50,reselect_only_eval_5.17_epoch_50,full_method_eval_4.17_epoch_50,expand_minus_baseline,reselect_minus_baseline,full_minus_baseline,full_minus_expand,full_minus_reselect
Cholec80 Phase,51.05 / 36.59,53.06 / 33.68,48.53 / 31.94,62.73 / 43.46,+2.01 Acc / -2.91 F1,-2.52 Acc / -4.65 F1,+11.68 Acc / +6.87 F1,+9.67 Acc / +9.78 F1,+14.20 Acc / +11.52 F1
AutoLaparo Phase,45.09 / 44.72,58.67 / 54.42,54.60 / 43.10,53.47 / 48.48,+13.58 Acc / +9.70 F1,+9.51 Acc / -1.62 F1,+8.38 Acc / +3.76 F1,-5.20 Acc / -5.94 F1,-1.13 Acc / +5.38 F1
StrasBypass70 Phase,22.23 / 21.61,24.23 / 23.29,27.05 / 21.35,26.85 / 23.87,+2.00 Acc / +1.68 F1,+4.82 Acc / -0.26 F1,+4.62 Acc / +2.26 F1,+2.62 Acc / +0.58 F1,-0.20 Acc / +2.52 F1
HeiChole Phase,56.16 / 40.14,52.19 / 34.59,51.47 / 34.79,60.42 / 47.42,-3.97 Acc / -5.55 F1,-4.69 Acc / -5.35 F1,+4.26 Acc / +7.28 F1,+8.23 Acc / +12.83 F1,+8.95 Acc / +12.63 F1
BernBypass70 Phase,13.27 / 13.81,14.74 / 14.54,17.55 / 13.97,16.56 / 13.85,+1.47 Acc / +0.73 F1,+4.28 Acc / +0.16 F1,+3.29 Acc / +0.04 F1,+1.82 Acc / -0.69 F1,-0.99 Acc / -0.12 F1
GraSP Phase,33.73 / 30.2,33.69 / 31.64,34.72 / 26.21,35.96 / 32.29,-0.04 Acc / +1.44 F1,+0.99 Acc / -3.99 F1,+2.23 Acc / +2.09 F1,+2.27 Acc / +0.65 F1,+1.24 Acc / +6.08 F1
GraSP Step,19.72 / 15.3,14.33 / 10.70,13.87 / 10.43,19.58 / 16.41,-5.39 Acc / -4.60 F1,-5.85 Acc / -4.87 F1,-0.14 Acc / +1.11 F1,+5.25 Acc / +5.71 F1,+5.71 Acc / +5.98 F1
SARRARP50 Action,10.86 / 4.68,4.94 / 5.16,10.29 / 4.28,15.16 / 7.67,-5.92 Acc / +0.48 F1,-0.57 Acc / -0.40 F1,+4.30 Acc / +2.99 F1,+10.22 Acc / +2.51 F1,+4.87 Acc / +3.39 F1
CholeT50 Triplet mAP,4.04,4.18,3.78,3.97,+0.14,-0.26,-0.07,-0.21,+0.19
Cholec80 Tool mAP,32.29,31.96,33.80,33.39,-0.33,+1.51,+1.10,+1.43,-0.41
HeiChole Tool mAP,31.2,33.37,32.97,29.34,+2.17,+1.77,-1.86,-4.03,-3.63
GraSP Tool mAP,45.73,38.59,47.83,44.22,-7.14,+2.10,-1.51,+5.63,-3.61
